2022-04-30 19:01:54,632 DEBUG    Server app started with args: []
2022-04-30 19:01:54,637 DEBUG    Initiating listen address: 0.0.0.0:7777.
2022-04-30 19:01:54,637 INFO     Socket successfully created. Listen address: 0.0.0.0:7777.
2022-04-30 19:02:17,575 DEBUG    Server app started with args: []
2022-04-30 19:02:17,579 DEBUG    Initiating listen address: 0.0.0.0:7777.
2022-04-30 19:02:17,580 INFO     Socket successfully created. Listen address: 0.0.0.0:7777.
2022-04-30 19:02:18,015 DEBUG    Connection request from ('127.0.0.1', 45176) received
2022-04-30 19:02:18,271 DEBUG    Calling [get_data] from function [main_cycle] with args: (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45176)>,); kwargs: {}
2022-04-30 19:02:18,271 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'presence', 'user': {'username': 'test2'}, 'time': 1651327338.022458}
2022-04-30 19:02:18,272 DEBUG    Received data from client 127.0.0.1:45176: {'action': 'presence', 'user': {'username': 'test2'}, 'time': 1651327338.022458}
2022-04-30 19:02:18,272 INFO     Correct [presence] from [test2] received
2022-04-30 19:02:18,272 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'response': 200, 'time': 1651327338.2724948, 'alert': 'OK'}, <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45176)>); kwargs: {}
2022-04-30 19:02:18,272 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-04-30 19:02:18,496 DEBUG    Connection request from ('127.0.0.1', 45178) received
2022-04-30 19:02:18,688 DEBUG    Connection request from ('127.0.0.1', 45180) received
2022-04-30 19:02:18,689 DEBUG    Calling [get_data] from function [main_cycle] with args: (<socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45178)>,); kwargs: {}
2022-04-30 19:02:18,689 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'presence', 'user': {'username': 'test3'}, 'time': 1651327338.4968984}
2022-04-30 19:02:18,689 DEBUG    Received data from client 127.0.0.1:45178: {'action': 'presence', 'user': {'username': 'test3'}, 'time': 1651327338.4968984}
2022-04-30 19:02:18,690 INFO     Correct [presence] from [test3] received
2022-04-30 19:02:18,690 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'response': 200, 'time': 1651327338.6901426, 'alert': 'OK'}, <socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45178)>); kwargs: {}
2022-04-30 19:02:18,690 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-04-30 19:02:18,957 DEBUG    Calling [get_data] from function [main_cycle] with args: (<socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45180)>,); kwargs: {}
2022-04-30 19:02:18,958 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'presence', 'user': {'username': 'test4'}, 'time': 1651327338.6892407}
2022-04-30 19:02:18,958 DEBUG    Received data from client 127.0.0.1:45180: {'action': 'presence', 'user': {'username': 'test4'}, 'time': 1651327338.6892407}
2022-04-30 19:02:18,958 INFO     Correct [presence] from [test4] received
