2022-05-04 01:10:27,986 DEBUG    Server app started with args: []
2022-05-04 01:10:27,994 CRITICAL Unknown critical error: stat: path should be string, bytes, os.PathLike or integer, not NoneType
2022-05-04 01:13:33,711 DEBUG    Server app started with args: []
2022-05-04 01:15:04,926 CRITICAL Unknown critical error: stat: path should be string, bytes, os.PathLike or integer, not NoneType
2022-05-04 01:15:39,263 DEBUG    Server app started with args: []
2022-05-04 01:15:39,275 DEBUG    Initiating listen address: 0.0.0.0:7777.
2022-05-04 01:15:39,419 INFO     Socket successfully created. Listen address: 0.0.0.0:7777.
2022-05-04 01:17:48,924 DEBUG    Server app started with args: []
2022-05-04 01:17:48,938 DEBUG    Initiating listen address: 0.0.0.0:7777.
2022-05-04 01:17:49,047 INFO     Socket successfully created. Listen address: 0.0.0.0:7777.
2022-05-04 01:21:45,660 DEBUG    Server app started with args: []
2022-05-04 01:21:45,663 DEBUG    Initiating listen address: 0.0.0.0:7777.
2022-05-04 01:21:45,702 INFO     Socket successfully created. Listen address: 0.0.0.0:7777.
2022-05-04 01:23:08,888 DEBUG    Server app started with args: []
2022-05-04 01:23:08,891 DEBUG    Initiating listen address: 0.0.0.0:7777.
2022-05-04 01:23:08,923 INFO     Socket successfully created. Listen address: 0.0.0.0:7777.
2022-05-04 01:23:11,530 DEBUG    Connection request from ('127.0.0.1', 44090) received
2022-05-04 01:23:11,608 DEBUG    Connection request from ('127.0.0.1', 44092) received
2022-05-04 01:23:11,608 DEBUG    Calling [get_data] from function [data_handler] with args: (<socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 44090)>,); kwargs: {}
2022-05-04 01:23:11,608 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'presence', 'user': {'username': 'test1'}, 'time': 1651609391.5315404}
2022-05-04 01:23:11,609 DEBUG    Received data from client 127.0.0.1:44090: {'action': 'presence', 'user': {'username': 'test1'}, 'time': 1651609391.5315404}
2022-05-04 01:23:11,609 INFO     Correct [presence] from [test1] received
2022-05-04 01:23:11,609 DEBUG    Calling [post_data] from function [presence] with args: ({'response': 200, 'time': 1651609391.6093013, 'alert': 'OK'}, <socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 44090)>); kwargs: {}
2022-05-04 01:23:11,609 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-05-04 01:23:11,615 WARNING  Wrong data from client 127.0.0.1:44090. Connection dropped. Exception: (sqlite3.ProgrammingError) SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 139714819544896 and this is thread id 139714687399680.
[SQL: SELECT count(*) AS count_1 
FROM (SELECT "Users".id AS "Users_id", "Users".username AS "Users_username", "Users".sent AS "Users_sent", "Users".received AS "Users_received", "Users".register_date AS "Users_register_date" 
FROM "Users" 
WHERE "Users".username = ?) AS anon_1]
[parameters: [{}]]
(Background on this error at: https://sqlalche.me/e/14/f405)
2022-05-04 01:25:40,770 DEBUG    Server app started with args: []
2022-05-04 01:25:40,774 DEBUG    Initiating listen address: 0.0.0.0:7777.
2022-05-04 01:25:40,834 INFO     Socket successfully created. Listen address: 0.0.0.0:7777.
2022-05-04 01:25:43,449 DEBUG    Connection request from ('127.0.0.1', 44128) received
2022-05-04 01:25:43,477 DEBUG    Connection request from ('127.0.0.1', 44130) received
2022-05-04 01:25:43,477 DEBUG    Calling [get_data] from function [data_handler] with args: (<socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 44128)>,); kwargs: {}
2022-05-04 01:25:43,478 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'presence', 'user': {'username': 'test2'}, 'time': 1651609543.4504933}
2022-05-04 01:25:43,478 DEBUG    Received data from client 127.0.0.1:44128: {'action': 'presence', 'user': {'username': 'test2'}, 'time': 1651609543.4504933}
2022-05-04 01:25:43,478 INFO     Correct [presence] from [test2] received
2022-05-04 01:25:43,478 DEBUG    Calling [post_data] from function [presence] with args: ({'response': 200, 'time': 1651609543.478749, 'alert': 'OK'}, <socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 44128)>); kwargs: {}
2022-05-04 01:25:43,479 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-05-04 01:25:43,549 DEBUG    Connection request from ('127.0.0.1', 44132) received
2022-05-04 01:25:43,549 DEBUG    Calling [get_data] from function [data_handler] with args: (<socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 44128)>,); kwargs: {}
2022-05-04 01:25:43,549 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'get_contacts', 'time': 1651609543.4801295, 'user': {'username': 'test2'}}
2022-05-04 01:25:43,550 DEBUG    Received data from client 127.0.0.1:44128: {'action': 'get_contacts', 'time': 1651609543.4801295, 'user': {'username': 'test2'}}
2022-05-04 01:25:43,557 DEBUG    Calling [post_data] from function [get_contacts] with args: ({'response': 200, 'time': 1651609543.5574203, 'alert': '[]'}, <socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 44128)>); kwargs: {}
2022-05-04 01:25:43,558 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-05-04 01:25:43,561 DEBUG    Calling [get_data] from function [data_handler] with args: (<socket.socket fd=26, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 44130)>,); kwargs: {}
2022-05-04 01:25:43,561 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'presence', 'user': {'username': 'test3'}, 'time': 1651609543.479025}
2022-05-04 01:25:43,561 DEBUG    Received data from client 127.0.0.1:44130: {'action': 'presence', 'user': {'username': 'test3'}, 'time': 1651609543.479025}
2022-05-04 01:25:43,561 INFO     Correct [presence] from [test3] received
2022-05-04 01:25:43,562 DEBUG    Calling [post_data] from function [presence] with args: ({'response': 200, 'time': 1651609543.5618417, 'alert': 'OK'}, <socket.socket fd=26, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 44130)>); kwargs: {}
2022-05-04 01:25:43,562 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-05-04 01:25:43,608 DEBUG    Connection request from ('127.0.0.1', 44134) received
